# 253 players had no CSV rating match (assigned default 66)
# Team	POS	Name	Club
Uzbekistan	DF	Umar Eshmurodov	Nasaf
Uzbekistan	GK	Botirali Ergashev	Neftchi Fergana
Uzbekistan	MF	Dostonbek Khamdamov	Pakhtakor
Uzbekistan	DF	Abdulla Abdullaev	Dibba
Uzbekistan	MF	Azizjon Ganiev	Al Bataeh
Uzbekistan	FW	Azizbek Amonov	Dinamo Samarqand
Uzbekistan	FW	Igor Sergeev	Persepolis
Uzbekistan	MF	Abbosbek Fayzullaev	İstanbul Başakşehir
Uzbekistan	MF	Sherzod Esanov	Bukhara
Uzbekistan	DF	Bekhruz Karimov	Surkhon Termiz
Uzbekistan	DF	Avazbek Ulmasaliev	AGMK
Uzbekistan	DF	Jakhongir Urozov	Dinamo Samarqand
Ghana	GK	Benjamin Asare	Hearts of Oak
Ghana	DF	Derrick Luckassen	Pafos
Panama	DF	César Blackman	Slovan Bratislava
Panama	DF	Fidel Escobar	Saprissa
Panama	DF	Edgardo Fariña	Pari Nizhny Novgorod
Panama	MF	Cristian Martínez	Ironi Kiryat Shmona
Panama	MF	José Luis Rodríguez	Juárez
Panama	FW	Tomás Rodríguez	Saprissa
Panama	MF	Yoel Bárcenas	Mazatlán
Panama	GK	César Samudio	Maratón
Panama	DF	Jiovany Ramos	Puerto Cabello
Panama	DF	Eric Davis	Plaza Amador
Panama	FW	Cecilio Waterman	Universidad de Concepción
Panama	MF	Alberto Quintero	Plaza Amador
Panama	MF	César Yanis	Cobresal
Panama	FW	Azarias Londoño	Universidad Católica
Panama	DF	Roderick Miller	Turan Tovuz
Panama	DF	Jorge Gutiérrez	Deportivo La Guaira
